| Contract                                        | Size (B) | Margin (B) |
|-------------------------------------------------|----------|------------|
| Address                                         |       85 |     24,491 |
| AddressArrayUtils                               |       85 |     24,491 |
| Ballot                                          |       85 |     24,491 |
| BaseGeneralConfig                               |   28,222 |     -3,646 |
| BridgeOperatorsBallot                           |      164 |     24,412 |
| BridgeReward                                    |    6,089 |     18,487 |
| BridgeRewardHarness                             |    6,629 |     17,947 |
| BridgeSlash                                     |    5,378 |     19,198 |
| BridgeTracking                                  |    6,696 |     17,880 |
| ECDSA                                           |       85 |     24,491 |
| ERC1155                                         |    4,859 |     19,717 |
| ERC1155Holder                                   |      936 |     23,640 |
| ERC1155PresetMinterPauser                       |   10,294 |     14,282 |
| ERC1967Proxy                                    |      170 |     24,406 |
| ERC20                                           |    2,138 |     22,438 |
| ERC20PresetMinterPauser                         |    6,255 |     18,321 |
| ERC721                                          |    4,280 |     20,296 |
| EnumerableSet                                   |       85 |     24,491 |
| ErrorHandler                                    |       85 |     24,491 |
| GeneralConfig                                   |   32,324 |     -7,748 |
| GlobalProposal                                  |       85 |     24,491 |
| HasBridgeDeprecated                             |       62 |     24,514 |
| HasValidatorDeprecated                          |       62 |     24,514 |
| IsolatedGovernance                              |       85 |     24,491 |
| JSONParserLib                                   |       85 |     24,491 |
| LibArray                                        |       85 |     24,491 |
| LibArtifact                                     |       85 |     24,491 |
| LibCompanionNetwork                             |       85 |     24,491 |
| LibDeploy                                       |       85 |     24,491 |
| LibErrorHandler                                 |       85 |     24,491 |
| LibProposal                                     |       85 |     24,491 |
| LibProxy                                        |       85 |     24,491 |
| LibRandom                                       |       85 |     24,491 |
| LibRequestBatch                                 |       85 |     24,491 |
| LibSharedAddress                                |       85 |     24,491 |
| LibStorage                                      |       85 |     24,491 |
| LibString                                       |       85 |     24,491 |
| LibTUint256Slot                                 |       85 |     24,491 |
| LibTimeWarper                                   |       85 |     24,491 |
| LibTokenInfo                                    |      164 |     24,412 |
| LibTokenInfoBatch                               |       85 |     24,491 |
| LibTokenOwner                                   |      164 |     24,412 |
| MainchainBridgeManager                          |   20,446 |      4,130 |
| MainchainGatewayBatcher                         |    4,043 |     20,533 |
| MainchainGatewayV3                              |   22,036 |      2,540 |
| Math                                            |       85 |     24,491 |
| MockBridge                                      |    1,253 |     23,323 |
| MockBridgeManager                               |    2,601 |     21,975 |
| MockBridgeReward                                |    6,774 |     17,802 |
| MockBridgeSlash                                 |    5,750 |     18,826 |
| MockBridgeTracking                              |    1,840 |     22,736 |
| MockDiscardEther                                |      137 |     24,439 |
| MockERC1155                                     |    5,903 |     18,673 |
| MockERC20                                       |    2,404 |     22,172 |
| MockERC721                                      |    4,654 |     19,922 |
| MockGatewayForTracking                          |    1,572 |     23,004 |
| MockRoninBridgeManager                          |   24,198 |        378 |
| MockRoninGatewayV3Extended                      |   21,314 |      3,262 |
| MockSLP                                         |    2,403 |     22,173 |
| MockTUint256Slot                                |    2,666 |     21,910 |
| MockUSDC                                        |    2,404 |     22,172 |
| MockValidatorContract_OnlyTiming_ForHardhatTest |    1,026 |     23,550 |
| MockValidatorSet_ForFoundryTest                 |      165 |     24,411 |
| MockWrappedToken                                |    2,169 |     22,407 |
| PRBMathUtils                                    |       62 |     24,514 |
| PauseEnforcer                                   |    4,436 |     20,140 |
| Proposal                                        |       85 |     24,491 |
| RoninBridgeManager                              |   24,198 |        378 |
| RoninBridgeManagerConstructor                   |   14,688 |      9,888 |
| RoninGatewayV3                                  |   21,020 |      3,556 |
| RoninMockERC1155                                |    8,715 |     15,861 |
| StdStyle                                        |       85 |     24,491 |
| StorageSlot                                     |       85 |     24,491 |
| Strings                                         |       85 |     24,491 |
| Transfer                                        |      164 |     24,412 |
| TransparentProxyOZv4_9_5                        |    2,143 |     22,433 |
| TransparentProxyV2                              |    2,337 |     22,239 |
| TransparentUpgradeableProxy                     |    2,029 |     22,547 |
| TransparentUpgradeableProxyV2                   |    2,310 |     22,266 |
| Uint96ArrayUtils                                |       85 |     24,491 |
| WBTC                                            |    6,461 |     18,115 |
| WBTC_Sepolia                                    |    2,138 |     22,438 |
| WethUnwrapper                                   |    1,185 |     23,391 |
| console                                         |       85 |     24,491 |
| safeconsole                                     |       85 |     24,491 |
| stdJson                                         |       85 |     24,491 |
| stdMath                                         |       85 |     24,491 |
| stdStorage                                      |       85 |     24,491 |
| stdStorageSafe                                  |       85 |     24,491 |

